user_id,persona_type,gender,age,province,city,tenure_months,arpu_yuan,data_usage_gb,call_minutes,current_plan,device,preferred_channel,interested_features,satisfaction,churn_risk,interaction_count,last_interaction_days
CM000001,家庭用户,女,50,云南,曲靖,183,211.16,36.1,776,神州行孝心卡,OPPO Find X6,APP,家庭共享套餐|儿童手表|智能家居,一般,中风险,24,26
CM000002,商务精英,男,51,安徽,芜湖,165,524.72,54.6,1702,全球通188元,华为畅享,短信营业厅,云存储|国际漫游|企业VPN,一般,中低风险,23,110
CM000003,家庭用户,男,31,广西,南宁,211,122.6,28.6,676,全球通128元,华为Mate 60,APP,宽带融合|亲情号码|智能家居,非常不满意,中低风险,29,3
CM000004,蓝领工人,男,25,吉林,吉林,115,60.56,30.2,375,动感地带校园版,小米13,APP,视频通话|务工套餐|语音优惠,一般,高风险,8,40
CM000005,学生群体,男,12,陕西,宝鸡,68,51.87,72.8,80,移动大流量卡,华为畅享,APP,兼职通话|夜间流量|校园流量包,满意,低风险,14,25
CM000006,家庭用户,男,37,青海,德令哈,191,115.65,35.3,281,神州行孝心卡,华为Mate 60,网上营业厅,家庭共享套餐|宽带融合|亲情号码,不满意,中高风险,1,3
CM000007,银发一族,女,67,新疆,石河子,17,39.29,0.5,388,神州行38元,OPPO Find X6,APP,大字版APP|语音畅聊包|健康监测,一般,低风险,12,49
CM000008,潮流青年,男,22,内蒙古,赤峰,28,69.21,109.2,58,5G智享套餐,三星S24,营业厅,音乐畅听|流量不限量|视频会员,一般,中低风险,13,16
CM000009,商务精英,男,36,河北,石家庄,1,400.21,98.8,1699,全球通288元,iPhone 14,10086热线,国际漫游|企业VPN|云存储,不满意,中低风险,23,11
CM000010,商务精英,男,29,浙江,温州,178,473.43,26.2,442,移动畅享套餐,荣耀Magic6,网上营业厅,云存储|企业VPN|国际漫游,一般,中高风险,18,2
CM000011,潮流青年,男,20,贵州,安顺,123,52.29,70.7,194,5G融合套餐299,iPhone 15 Pro,10086热线,游戏加速|视频会员|社交免流,非常满意,中低风险,12,77
CM000012,商务精英,女,48,山西,临汾,184,403.63,38.2,1763,神州行38元,华为P60,营业厅,商务彩铃|云存储|国际漫游,满意,中高风险,13,62
CM000013,潮流青年,女,17,辽宁,锦州,95,54.15,34.2,163,移动大流量卡,iPhone 14,网上营业厅,音乐畅听|流量不限量|游戏加速,满意,中风险,11,43
CM000014,潮流青年,男,18,重庆,沙坪坝区,174,49.38,86.7,247,动感地带校园版,vivo X100,APP,游戏加速|流量不限量|社交免流,一般,中高风险,13,8
CM000015,银发一族,男,67,黑龙江,牡丹江,7,57.28,3.1,383,5G融合套餐299,iPhone 15 Pro,10086热线,紧急呼叫|大字版APP|语音畅聊包,满意,中高风险,14,24
CM000016,银发一族,女,59,四川,成都,62,35.7,3.7,230,5G融合套餐299,华为Mate 60,短信营业厅,健康监测|大字版APP|语音畅聊包,一般,中低风险,1,2
CM000017,银发一族,女,71,宁夏,吴忠,83,36.06,3.9,130,全球通388元,华为Mate 60,APP,防诈提醒|紧急呼叫|健康监测,满意,低风险,12,42
CM000018,银发一族,男,66,内蒙古,呼和浩特,231,31.63,4.4,259,全球通188元,iPhone 15 Pro,APP,大字版APP|紧急呼叫|健康监测,非常不满意,中低风险,11,38
CM000019,银发一族,男,59,上海,黄浦区,159,42.41,4.3,343,5G融合套餐299,iPhone SE,APP,防诈提醒|语音畅聊包|紧急呼叫,非常不满意,高风险,21,110
CM000020,家庭用户,女,40,云南,大理,141,178.08,35.5,719,全球通188元,华为Mate 60,短信营业厅,宽带融合|家庭共享套餐|儿童手表,一般,低风险,21,110
CM000021,家庭用户,男,38,广西,柳州,105,161.04,14.8,745,动感地带18元,vivo X100,短信营业厅,家庭共享套餐|宽带融合|儿童手表,满意,中风险,13,0
CM000022,银发一族,男,67,贵州,遵义,19,47.18,1.8,242,神州行38元,华为畅享,短信营业厅,防诈提醒|大字版APP|语音畅聊包,一般,低风险,9,26
CM000023,家庭用户,男,48,四川,绵阳,88,210.83,33.4,705,移动畅享套餐,realme GT5,网上营业厅,宽带融合|亲情号码|儿童手表,不满意,高风险,19,0
CM000024,学生群体,男,14,安徽,合肥,188,41.01,59.1,136,全球通128元,vivo X100,网上营业厅,夜间流量|兼职通话|假期短号,一般,高风险,19,19
CM000025,潮流青年,女,21,河南,洛阳,166,92.49,146.5,104,动感地带校园版,realme GT5,微信公众号,流量不限量|社交免流|视频会员,满意,低风险,15,13
CM000026,学生群体,男,12,海南,儋州,217,31.95,73.0,83,5G融合套餐299,华为Mate 60,微信公众号,校园流量包|夜间流量|学习APP免流,不满意,中高风险,34,10
CM000027,潮流青年,女,26,天津,河东区,193,102.83,58.7,114,神州行孝心卡,realme GT5,微信公众号,视频会员|游戏加速|社交免流,不满意,中风险,12,37
CM000028,蓝领工人,男,38,重庆,江北区,208,90.45,34.7,448,移动大流量卡,iPhone SE,APP,闲时流量|视频通话|语音优惠,一般,中低风险,11,32
CM000029,商务精英,女,29,青海,海东,239,437.43,90.4,886,神州行38元,华为P60,微信公众号,5G极速套餐|企业VPN|云存储,非常满意,高风险,7,24
CM000030,银发一族,女,64,江西,九江,3,40.72,4.7,109,全球通88元,华为畅享,10086热线,防诈提醒|紧急呼叫|健康监测,不满意,低风险,7,21
CM000031,潮流青年,女,16,宁夏,中卫,119,42.4,129.5,271,动感地带校园版,三星S24,10086热线,游戏加速|社交免流|流量不限量,一般,中低风险,22,18
CM000032,家庭用户,男,39,福建,漳州,199,91.03,39.8,480,动感地带校园版,华为Mate 60,APP,宽带融合|智能家居|家庭共享套餐,一般,高风险,17,17
CM000033,商务精英,男,35,浙江,嘉兴,170,561.86,71.6,1288,全球通128元,华为畅享,微信公众号,国际漫游|企业VPN|云存储,不满意,低风险,14,74
CM000034,蓝领工人,女,26,宁夏,银川,188,75.67,24.3,567,神州行38元,iPhone 14,10086热线,闲时流量|老乡号码|务工套餐,非常满意,低风险,4,8
CM000035,学生群体,女,17,重庆,渝中区,92,18.46,66.8,45,移动大流量卡,OPPO Find X6,网上营业厅,夜间流量|假期短号|兼职通话,非常满意,高风险,8,4
CM000036,家庭用户,男,37,上海,浦东新区,34,136.56,40.0,664,全球通128元,华为畅享,网上营业厅,宽带融合|家庭共享套餐|亲情号码,满意,高风险,6,6
CM000037,银发一族,女,73,贵州,遵义,22,37.98,4.0,593,全球通388元,小米14,营业厅,防诈提醒|紧急呼叫|大字版APP,非常满意,低风险,17,82
CM000038,蓝领工人,男,37,广西,南宁,95,43.51,26.2,284,神州行孝心卡,华为P60,微信公众号,闲时流量|老乡号码|务工套餐,满意,中风险,11,20
CM000039,学生群体,男,15,宁夏,银川,230,45.01,66.5,36,移动大流量卡,荣耀Magic6,短信营业厅,学习APP免流|校园流量包|夜间流量,一般,低风险,28,8
CM000040,家庭用户,女,37,重庆,九龙坡区,209,118.04,51.4,286,全球通88元,小米13,10086热线,儿童手表|家庭共享套餐|亲情号码,不满意,低风险,14,13
CM000041,潮流青年,女,23,甘肃,张掖,175,122.1,107.3,263,和家庭168,iPhone 15 Pro,网上营业厅,视频会员|游戏加速|社交免流,不满意,低风险,3,4
CM000042,商务精英,女,31,天津,南开区,227,147.19,26.9,1371,5G智享套餐,三星S24,短信营业厅,国际漫游|企业VPN|商务彩铃,一般,低风险,15,33
CM000043,潮流青年,女,28,新疆,克拉玛依,87,52.45,89.3,260,全球通388元,小米14,营业厅,音乐畅听|流量不限量|视频会员,一般,中风险,11,3
CM000044,商务精英,男,36,吉林,延边,51,249.66,69.5,1338,神州行38元,小米14,10086热线,国际漫游|云存储|企业VPN,一般,中高风险,26,46
CM000045,学生群体,女,21,北京,丰台区,207,54.33,77.7,82,神州行孝心卡,小米13,短信营业厅,校园流量包|学习APP免流|假期短号,不满意,中高风险,15,9
CM000046,蓝领工人,男,23,江苏,苏州,225,81.0,30.4,249,全球通388元,小米13,10086热线,闲时流量|老乡号码|语音优惠,满意,中风险,26,31
CM000047,商务精英,女,44,广西,北海,70,529.79,27.9,1424,动感地带校园版,OPPO Find X6,微信公众号,5G极速套餐|云存储|商务彩铃,非常满意,低风险,8,17
CM000048,蓝领工人,女,33,宁夏,固原,33,85.27,27.2,500,全球通128元,华为Mate 60,网上营业厅,务工套餐|视频通话|闲时流量,一般,中高风险,21,18
CM000049,蓝领工人,男,31,西藏,日喀则,135,52.73,27.8,521,和家庭198,iPhone SE,网上营业厅,语音优惠|视频通话|老乡号码,一般,低风险,12,75
CM000050,家庭用户,女,42,安徽,芜湖,133,192.48,10.9,350,移动畅享套餐,Redmi Note 12,10086热线,家庭共享套餐|宽带融合|智能家居,满意,中风险,6,65
CM000051,潮流青年,女,26,新疆,喀什,94,90.32,91.3,249,神州行38元,小米13,微信公众号,视频会员|游戏加速|社交免流,满意,中低风险,12,13
CM000052,银发一族,女,73,广西,桂林,155,51.79,0.6,460,移动畅享套餐,OPPO Find X6,APP,大字版APP|紧急呼叫|防诈提醒,一般,高风险,23,16
CM000053,潮流青年,女,19,河北,邯郸,163,106.26,50.1,280,全球通388元,Redmi Note 12,网上营业厅,游戏加速|视频会员|音乐畅听,不满意,中风险,26,41
CM000054,学生群体,女,16,陕西,咸阳,103,34.39,71.7,91,全球通128元,三星S24,10086热线,学习APP免流|兼职通话|夜间流量,满意,中风险,17,3
CM000055,家庭用户,男,40,山西,大同,128,139.52,58.5,592,动感地带18元,小米13,10086热线,亲情号码|智能家居|家庭共享套餐,非常满意,中风险,9,48
CM000056,学生群体,女,14,重庆,九龙坡区,106,44.08,54.4,132,全球通188元,OPPO Find X6,网上营业厅,假期短号|夜间流量|兼职通话,非常满意,中风险,18,43
CM000057,学生群体,女,22,湖南,湘潭,202,28.03,44.7,22,移动畅享套餐,华为Mate 60,营业厅,夜间流量|学习APP免流|假期短号,一般,中低风险,29,52
CM000058,蓝领工人,女,45,辽宁,锦州,100,73.91,32.0,221,全球通128元,realme GT5,APP,老乡号码|务工套餐|闲时流量,一般,中风险,22,69
CM000059,蓝领工人,女,22,广东,东莞,169,44.33,10.6,476,移动畅享套餐,小米13,短信营业厅,老乡号码|视频通话|语音优惠,不满意,中风险,20,86
CM000060,学生群体,女,19,江苏,南京,84,57.31,23.8,118,全球通288元,realme GT5,营业厅,兼职通话|校园流量包|夜间流量,一般,低风险,14,4
CM000061,潮流青年,男,22,陕西,延安,190,107.21,139.1,148,全球通188元,华为P60,10086热线,社交免流|游戏加速|流量不限量,一般,低风险,15,0
CM000062,学生群体,男,16,广西,北海,185,25.22,25.2,44,神州行孝心卡,华为P60,10086热线,学习APP免流|假期短号|兼职通话,非常满意,中低风险,10,21
CM000063,学生群体,男,19,福建,福州,86,42.16,39.9,47,全球通128元,荣耀Magic6,APP,假期短号|兼职通话|学习APP免流,一般,中低风险,8,23
CM000064,银发一族,男,69,广东,东莞,200,19.51,4.6,202,全球通128元,Redmi Note 12,短信营业厅,语音畅聊包|防诈提醒|健康监测,非常不满意,中风险,9,33
CM000065,家庭用户,女,46,天津,河西区,237,180.25,17.9,479,神州行38元,iPhone 15 Pro,APP,家庭共享套餐|亲情号码|宽带融合,非常不满意,中低风险,20,1
CM000066,家庭用户,男,41,西藏,山南,188,141.11,10.4,779,移动大流量卡,OPPO Find X6,APP,亲情号码|宽带融合|家庭共享套餐,非常不满意,中风险,4,83
CM000067,商务精英,男,42,山西,阳泉,132,376.26,44.9,1257,5G融合套餐299,三星S24,网上营业厅,商务彩铃|云存储|5G极速套餐,非常满意,高风险,1,25
CM000068,潮流青年,男,17,上海,徐汇区,239,43.13,50.0,165,全球通388元,小米13,APP,音乐畅听|流量不限量|视频会员,不满意,高风险,10,23
CM000069,家庭用户,女,42,陕西,咸阳,169,189.13,58.2,508,全球通88元,华为P60,网上营业厅,宽带融合|家庭共享套餐|亲情号码,一般,中低风险,2,32
CM000070,学生群体,男,14,青海,格尔木,152,32.91,26.5,145,全球通128元,华为P60,微信公众号,兼职通话|校园流量包|学习APP免流,一般,中低风险,17,101
CM000071,家庭用户,女,42,浙江,温州,189,233.61,31.2,213,移动大流量卡,iPhone SE,10086热线,亲情号码|宽带融合|智能家居,满意,中高风险,23,38
CM000072,银发一族,男,74,甘肃,酒泉,135,46.45,4.6,582,5G智享套餐,OPPO Find X6,微信公众号,大字版APP|健康监测|语音畅聊包,不满意,中风险,3,0
CM000073,商务精英,男,53,内蒙古,鄂尔多斯,62,240.1,89.9,1194,全球通88元,华为P60,短信营业厅,企业VPN|商务彩铃|5G极速套餐,一般,中风险,13,47
CM000074,商务精英,男,53,天津,河西区,101,480.28,95.8,1760,全球通288元,OPPO Find X6,短信营业厅,云存储|国际漫游|商务彩铃,一般,中低风险,7,12
